Title,Summary,Publication Date,Source,URL,Category
Israeli airstrike on Gaza school,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Typhoon Yagi,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Cruise ship’s ‘Titanic moment’,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
City’s warning for British tourists,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
7 critical nutrients,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Video Music Awards 2024,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
On board a medical train ferrying Ukraine’s frontline wounded soldiers to hospitals around the country,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Russian ship suspected of delivering Iranian ballistic missiles seen at Caspian Sea port,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,World
"From convict to combatant, Ukraine enlists prisoners to fight Russian forces",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,World
‘Incredibly alarming’: What Trump’s answer about Ukraine tells ex-Pence adviser,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
"A photographer traveled 10,000 miles through Ukraine. This is what he saw",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Trump allies do damage control as Harris rides fresh momentum post debate,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
How Taylor Swift’s endorsement of Harris matters,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Haberman: Debate was arguably ’Trump’s worst’,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
South Korean soccer player says Chinese authorities forced him to confess to match-fixing,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
The best red carpet looks from MTV’s Video Music Awards 2024,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Catch up on today’s global news,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
A CEO went missing. Then his bank got a mysterious bill for $11 million,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
SpaceX’s Polaris Dawn crew to attempt first commercial spacewalk,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Typhoon Yagi continues to devastate Vietnam leaving around 200 dead,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
"Israeli airstrike on Gaza school sheltering displaced people kills at least 18, including UN staff, officials say",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Biden condemns death of American woman killed by IDF in the West Bank,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
IDF releases video of Gaza tunnel where it says hostages were killed,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Trump’s social media stock plunges to record low,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Peru’s ex-leader Alberto Fujimori dies,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
Police say Bon Jovi saved a woman they say tried to jump from a bridge,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/,Business
